region,province,locality,zip_code,property_type,property_subtype,price,living_area,number_rooms,kitchen,kitchen_score,building_state,building_score,has_garden,has_terrace,has_pool,has_fireplace,number_facades,furnished,price_per_sqm,predicted_price,valuation_gap,valuation_gap_pct
Flanders,Flemish Brabant,Wezembeek-Oppem,1970,HOUSE,HOUSE,460000.0,120.0,3.0,USA_HYPER_EQUIPPED,3,GOOD,3.0,1,1,0,0,2,0,3833.3333333333335,379132.0,80868.0,21.329774326619752
Brussels,Brussels,Woluwe-Saint-Pierre,1150,HOUSE,HOUSE,599000.0,203.0,4.0,INSTALLED,2,GOOD,3.0,1,1,0,0,3,0,2950.7389162561576,642962.5,-43962.5,-6.837490522386609
Flanders,Antwerp,Schilde,2970,HOUSE,HOUSE,655000.0,235.0,2.0,INSTALLED,2,AS_NEW,5.0,0,0,0,0,4,0,2787.2340425531916,645566.9583333333,9433.041666666744,1.4612026754002594
Brussels,Brussels,Brussels,1000,HOUSE,MIXED_USE_BUILDING,1475000.0,518.0,6.0,NOT_INSTALLED,0,TO_RENOVATE,1.0,1,1,0,0,2,0,2847.4903474903476,1872865.0,-397865.0,-21.243656109756976
Wallonie,Liège,Huy,4500,HOUSE,HOUSE,149500.0,100.0,3.0,SEMI_EQUIPPED,1,GOOD,3.0,0,0,0,0,3,0,1495.0,161310.0,-11810.0,-7.321306800570331
Wallonie,Hainaut,La Louviere,7100,HOUSE,HOUSE,155000.0,154.0,3.0,INSTALLED,2,GOOD,3.0,0,1,0,0,2,0,1006.4935064935065,185280.0,-30280.0,-16.342832469775477
Flanders,West Flanders,Desselgem,8792,HOUSE,HOUSE,299500.0,140.0,3.0,INSTALLED,2,GOOD,3.0,0,0,0,0,4,0,2139.285714285714,342949.45458333334,-43449.45458333334,-12.669346459851432
Flanders,East Flanders,Gent,9000,HOUSE,HOUSE,350000.0,127.0,2.0,HYPER_EQUIPPED,3,GOOD,3.0,1,1,0,0,2,0,2755.9055118110236,378825.0,-28825.0,-7.609054312677357
Flanders,West Flanders,De Panne,8660,HOUSE,HOUSE,360000.0,206.0,3.0,NOT_INSTALLED,0,TO_RESTORE,0.0,0,0,0,0,1,0,1747.5728155339805,449682.5,-89682.5,-19.943515702745827
Wallonie,Namur,Havelange,5370,HOUSE,VILLA,395000.0,180.0,4.0,USA_HYPER_EQUIPPED,3,JUST_RENOVATED,4.0,1,1,0,0,4,0,2194.4444444444443,448157.5,-53157.5,-11.861343389321835
Wallonie,Luxembourg,Aubange,6790,HOUSE,HOUSE,460000.0,130.0,4.0,INSTALLED,2,GOOD,3.0,0,1,0,0,4,0,3538.4615384615386,420880.655,39119.34499999997,9.294640781244738
Flanders,East Flanders,Lebbeke,9280,HOUSE,HOUSE,689000.0,260.0,3.0,USA_HYPER_EQUIPPED,3,GOOD,3.0,1,1,0,0,4,0,2650.0,648219.0,40781.0,6.291237992098349
Brussels,Brussels,Watermael-Boitsfort,1170,HOUSE,HOUSE,730000.0,185.0,3.0,USA_INSTALLED,2,GOOD,3.0,1,1,0,1,2,0,3945.945945945946,690250.265,39749.734999999986,5.758742446842811
Wallonie,Walloon Brabant,Rixensart Genval,1332,HOUSE,HOUSE,485000.0,148.0,3.0,SEMI_EQUIPPED,1,GOOD,3.0,1,0,0,0,3,0,3277.027027027027,384945.0,100055.0,25.99202483471665
Wallonie,Walloon Brabant,Waterloo,1410,HOUSE,HOUSE,549000.0,207.0,4.0,INSTALLED,2,GOOD,3.0,1,1,0,0,3,0,2652.1739130434785,393055.0,155945.0,39.675109081426264
Wallonie,Walloon Brabant,Braine-l'Alleud,1420,HOUSE,HOUSE,549000.0,207.0,4.0,INSTALLED,2,GOOD,3.0,1,1,0,0,3,0,2652.1739130434785,393055.0,155945.0,39.675109081426264
